Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
NOFHIN00556,JAN JAGRAN TIMES,,62359,62359/ 94,NOT GIVEN,,,W
APENG03114,JAGRAN CITY PLUS,,110733,APENG/2010/38176,JAGRAN PRAKASHAN LTD,AP,HYDERABAD,W
BIHHIN05227,SAMPURNA JAGRAN,,125436,BIHHIN/2013/52881,NUTAN VERMA,BIH,BETTIAH,D
BIHHIN05120,DAINIK JAGRAN,,119746,BIHHIN/2012/47189,JAGRAN PRAKASHAN LTD,BIH,BHAGALPUR,D
BIHHIN02261,VISHWA JAGRAN,,39498,39498/ 81,D. R. TYAGI,BIH,GAYA,W
CHAHIN00427,KISHAN JAGRAN,,23578,23578/ 71,"HARYANA AGRO INDUSTRIES CORPORATION, CHANDIGARH",CHA,CHANDIGARH,BM
CHHHIN17414,DEV JAGRAN NEWS,??? ????? ?????,155226,CHHHIN/2022/82671,SMT. SOMA SINGH,CHH,DURG,W
DELHIN28750,DAINIK JAGRAN RASHTRIYA SANSKARAN,????? ????? ?????????? ????????,147276,DELHIN/2017/74721,JAGRAN PRAKASHAN LTD,DEL,DELHI,D
DELPUN00627,JAN JAGRAN,?? ?????,137858,DELPUN/2015/65303,RAVI BHARDWAJ,DEL,DELHI,D
DELBIL05402,VIDYA JAGRAN,,83960,DELBIL/2003/11403,GURPINDER SINGH,DEL,DELHI,F
DELBIL05833,JANHIT JAGRAN,????? ?????,89819,DELBIL/2005/17262,AJMAT ALI KHAN,DEL,DELHI,F
DELHIN07073,UTTRAKHAND JAGRAN,?????????? ?????,59294,59294/ 94,SATENDER SINGH RAWAT,DEL,DELHI,F
DELHIN09860,JAGRAN UDAY,,75494,DELHIN/2000/02937,JAGRAN PRAKASHAN LIMITED.,DEL,DELHI,F
DELGUJ00092,SAHAKAR JAGRAN,,,,NATIONAL COOPERATIVE UNION OF INDIA,DEL,DELHI,M
DELODI00065,KRISHI JAGRAN,,144978,DELODI/2017/72423,M.C.DOMINIC,DEL,DELHI,M
DELPUN00503,M.A.C. KRISHI JAGRAN,??. ?. ??. ???? ?????,79310,DELPUN/1999/06753,M.C.DOMNIK,DEL,DELHI,M
DELHIN10692,JAGRAN SAKHI,,75664,DELHIN/2001/03107,JAGRAN PRAKASHAN LIMITED,DEL,DELHI,M
DELBIL11566,JAT JAGRAN,??? ?????,145690,DELBIL/2017/73135,JOGINDER MANN,DEL,DELHI,M
DELHIN06063,BHARAT JAGRAN,,55597,55597/ 92,MEENA,DEL,DELHI,M
DELHIN28867,GURJAR JAGRAN,,151919,DELHIN/2020/79364,DHARAM VIR NAGAR,DEL,DELHI,Q
DELBIL06140,UPBHOKTHA JAGRAN,,53296,53296/ 91,"AAPURTI VIBHAG, MINISTRY OF AGRICULTURE",DEL,DELHI,Q
DELHIN27608,JAGRAN JOSH PLUS,,125490,UR,JAGRAN PRAKASHAN LTD,DEL,DELHI,W
DELHIN07792,JAN JAGRAN AANDOLAN,,62931,62931/ 95,VIJAY SHARMA,DEL,DELHI,W
HARHIN11294,KALASH JAGRAN,??? ?????,152735,HARHIN/2019/80180,MANISHA KUMARI,HAR,FARIDABAD,D
JHAHIN00838,SHRAMIK JAGRAN,,44424,44424/ 87,RAMESH KUMAR RAHI,JHA,DHANBAD,W
JHAHIN00908,JHARKHAND JAGRAN,?????? ?????,66662,66662/ 95,C-4 MEDIA AND COMMUNICATION PVT. LTD.,JHA,RANCHI,D
JHAHIN01022,JAGRAN MANTRA,????? ?????,155784,JHAHIN/2021/83229,MOHAMMAD ANWAR ALI,JHA,RANCHI,D
MAHMAR18580,SAMAJWADI JAGRAN,,71748,71748/ 99,SUDHIR SHRIDHARRAO DHONE,MAH,AKOLA,M
MAHMAR27296,VYAVSAI JAGRAN,,88119,MAHMAR/2005/15562,DR. A. V. THAWALE,MAH,AMRAVATI,M
MAHBIL10310,MAHAJAGRAN,,156903,MAHBIL/2021/84348,ABDUL MATIN AYUB SHIEKH,MAH,CHANDRAPUR,D
MAHBIL05860,BAHUJAN JAGRAN,,111201,MAHBIL/2009/38644,KHEMCHAND GHIGUJI MESHRAM,MAH,CHANDRAPUR,W
MAHMAR47048,JAGRAN TIMES,????? ??????,139820,MAHMAR/2015/67265,PRAKASH RAMDAS TELI,MAH,JALGAON,D
MAHBIL10422,JAGRAN JUNCTION,,156729,UR,ASHUTOSH SHIVLOCHAN GUPTA,MAH,MUMBAI,D
MAHHIN10392,PRAVASI JAGRAN,??????? ?????,156764,MAHHIN/2022/84209,MAHANARAYAN ANIL KUMAR MISHRA,MAH,MUMBAI,W
MAHBIL10173,SEWAK JAGRAN,,,,PANKAJ SATYAJIT MISHRA,MAH,NAGPUR,D
MAHMAR52949,NANDIGIRAM JAGRAN,,,,MAHABALE PRALHAD LIMBAJIRAO,MAH,NANDED,W
MAHHIN10329,PRAKHAR JAGRAN,????? ?????,158616,MAHHIN/2022/86061,JAVVAD MOHAMMED SHAMSHAD ANSARI,MAH,THANE,W
MAHHIN09384,YUG PRABHAT JAGRAN,??? ?????? ?????,135033,MAHHIN/2015/62478,PRABHAT GROUP OF PUBLICATION,MAH,THANE,W
MPHIN11121,JAN JAN JAGRAN,,58842,58842/ 94,NISHTHAWAN ADVERTISERS AND MEDIA PVT.LTD,MP,BHOPAL,D
